,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Windspeed,Humidity,Cloudiness
124,barstow,us,34.9,-117.02,16,5.1,13,1
125,salta,ar,-24.79,-65.41,17,4.6,48,90
126,bougouni,ml,11.42,-7.48,25.85,4.75,34,12
127,tandalti,sd,13.02,31.87,22.73,1.1,52,0
128,lagoa,pt,39.05,-27.98,19.38,8.45,100,76
129,touros,br,-5.2,-35.46,26.65,5.9,76,0
130,carcassonne,fr,43.22,2.35,12,3.6,87,0
131,anamur,tr,36.08,32.84,18.23,1.85,84,0
132,juegang,cn,32.32,121.19,6.5,5.65,100,20
134,claveria,ph,18.61,121.08,24.4,4.1,100,92
135,port blair,in,11.67,92.75,28.73,1.4,100,0
136,perivolion,gr,39.42,20.01,14,4.45,93,90
137,kukes,al,42.08,20.42,2.63,0.95,100,92
139,belaya gora,ru,68.53,146.42,-18.5,4.35,80,80
140,oviedo,es,43.36,-5.84,10,1.5,93,20
141,dunedin,nz,-45.87,170.5,13.48,1.8,89,0
142,namwala,zm,-15.75,26.44,21.33,2.5,71,64
143,ofunato,jp,39.07,141.72,2.28,5.35,82,0
144,new norfolk,au,-42.78,147.06,15,3.1,77,0
145,resistencia,ar,-27.46,-58.98,26,6.2,29,0
147,lodwar,ke,3.12,35.6,24.35,3.1,49,0
148,la cruz,cr,11.07,-85.63,30,2.1,58,0
149,zarautz,es,43.28,-2.17,8,1,93,0
150,santa fe,ph,8.34,124.78,20.45,1.5,100,56
151,butaritari,ki,3.07,172.79,28.45,2.2,100,20
152,saint paul,us,44.94,-93.09,4,8.2,55,40
153,cantaura,ve,9.31,-64.36,32.1,5,47,8
154,san patricio,mx,19.22,-104.7,31,5.1,66,40
155,kriel,za,-26.27,29.23,11.95,2.1,30,24
156,kauhajoki,fi,62.43,22.18,2,2.1,100,75
157,kodiak,us,57.79,-152.41,-1,3.1,74,1
158,santa isabel do rio negro,br,-0.41,-65.02,29.48,1.85,76,24
159,souillac,mu,-20.52,57.52,25,2.6,83,75
160,ballina,au,-28.87,153.57,21,6.1,100,100
161,yulara,au,-25.24,130.99,25,10.8,61,75
162,bria,cf,6.54,21.99,20.13,1.95,98,36
163,bontang,id,0.13,117.5,28.13,0.8,96,36
164,tabas,ir,33.6,56.92,0.88,1.25,70,0
166,vardo,no,70.37,31.11,3.25,5,100,88
167,botou,cn,38.07,116.57,-5.85,2.05,46,24
168,bluff,nz,-46.6,168.33,11.53,5.85,100,0
169,leningradskiy,ru,69.38,178.42,-4.6,15.5,100,92
170,bafq,ir,31.61,55.41,-1.13,0.3,66,0
171,luangwa,zm,-15.62,30.42,25.23,6.45,67,0
173,vao,nc,-22.67,167.48,21.73,5.75,100,56
174,ekangala,za,-25.7,28.75,22,1,32,0
175,jega,ng,12.22,4.38,25.1,1.75,64,0
176,arica,cl,-18.48,-70.3,24,5.7,50,0
177,kilinochchi,lk,9.4,80.4,26.88,2.5,100,44
178,muzhi,ru,65.37,64.67,-9.9,3.2,85,76
179,bethal,za,-26.46,29.47,11.95,2.1,30,24
180,anadyr,ru,64.75,177.48,0,14,94,90
181,beitbridge,zw,-22.22,30,21.85,4.65,61,0
182,lieksa,fi,63.32,30.02,-1.4,1.15,89,80
183,acoyapa,ni,11.97,-85.17,32,3.1,55,40
184,huarmey,pe,-10.07,-78.15,22.75,2,51,12
185,ribeira grande,pt,38.52,-28.7,20,0.5,88,75
186,malamig,ph,12.95,121.37,22.45,1.15,100,92
187,ust-tsilma,ru,65.44,52.15,-0.98,2.8,87,68
189,pryazha,ru,61.69,33.62,4,6,86,80
190,jasper,us,38.39,-86.93,19,10.8,88,90
191,belyy yar,ru,53.6,91.39,-11,1,85,68
192,jumla,np,29.27,82.18,-4.35,0.75,100,44
193,kudahuvadhoo,mv,2.67,72.89,28.35,2.4,100,76
194,kushiro,jp,42.98,144.37,-2.05,3.55,89,36
195,chapada dos guimaraes,br,-15.46,-55.75,33,4.1,52,40
197,mahibadhoo,mv,3.78,72.97,28.08,1.1,100,92
198,bintulu,my,3.17,113.03,24,1,100,75
199,trairi,br,-3.28,-39.27,26.95,8.4,100,0
200,joshimath,in,30.57,79.57,-10.35,0.3,90,88
201,labuhan,id,-6.88,112.21,26.75,2.95,100,68
202,jimo,cn,36.39,120.46,-4,3.7,73,0
203,ladario,br,-19,-57.6,29,1.45,83,75
204,shunyi,cn,40.12,116.65,-8,1,78,0
205,izmir,tr,38.41,27.14,10,1.25,93,40
206,alanya,tr,36.54,32,15.33,1.15,100,0
207,semirom,ir,31.42,51.57,-8.3,1.05,64,20
208,fortuna,us,40.6,-124.16,12,3.1,71,1
209,taft,us,35.14,-119.46,14,2.1,67,40
210,motril,es,36.75,-3.52,8,3.15,75,0
211,pingdu,cn,36.78,119.95,-4,2.3,73,0
213,guerrero negro,mx,27.98,-114.06,26.95,1.3,54,32
215,tecoanapa,mx,16.52,-98.75,28.58,2.9,75,64
217,mikkeli,fi,61.67,27.25,4,2.1,93,75
218,foso,gh,5.7,-1.29,23.58,1.95,92,24
219,itaquyry,py,-24.93,-55.22,25,3.1,73,75
220,comarapa,bo,-17.9,-64.48,16.88,1.25,100,92
222,neiafu,to,-18.65,-173.98,27,3.1,88,40
223,huescar,es,37.81,-2.54,-1.9,0.95,76,0
225,huaiyin,cn,33.59,119.02,-4.23,1.45,78,48
226,coos bay,us,43.37,-124.22,9,2.6,70,1
227,christchurch,nz,-43.53,172.63,12,2.1,81,0
228,kamaishi,jp,39.27,141.88,2.28,5.35,82,0
230,lorengau,pg,-2.02,147.27,28.45,1.9,100,24
231,saint-pierre,pm,46.77,-56.17,6,3.1,93,75
232,vieux fort,lc,13.72,-60.95,31,6.2,70,20
233,mahebourg,mu,-20.41,57.7,25,2.6,83,75
234,koulikoro,ml,12.86,-7.56,24,2.1,31,0
235,poro,ph,10.63,124.41,26,1.5,94,40
236,shancheng,cn,34.8,116.08,-3.8,1.4,65,88
237,pisco,pe,-13.7,-76.22,20,5.7,77,0
238,duzce,tr,40.84,31.16,4.23,0.7,84,0
239,tuktoyaktuk,ca,69.45,-133.04,-16,4.1,84,90
240,lulea,se,65.58,22.15,-7,3.1,92,90
241,halifax,ca,44.65,-63.57,2,6.7,74,75
242,xuanzhou,cn,30.95,118.76,2.53,3,95,8
246,kozhva,ru,65.11,57.05,-3.4,4.25,85,80
247,broken hill,au,-31.95,141.43,17.15,5.2,83,0
249,laurel,us,39.1,-76.85,15,5.1,41,40
251,vangaindrano,mg,-23.35,47.6,20.08,2.2,100,92
252,sterling,us,39.01,-77.43,15,2.1,76,90
253,moree,au,-29.47,149.85,17.45,4.3,83,8
254,borovoy,ru,55.43,86.08,-1,6,63,0
255,lensk,ru,60.73,114.93,-24.63,1.85,95,64
256,lira,ug,2.23,32.91,17.23,1.4,95,36
257,mokhotlong,ls,-29.29,29.07,0.53,0.9,58,0
258,boa vista,br,2.82,-60.67,37,4.1,35,75
260,figeac,fr,44.6,2.03,4,1.5,70,0
261,macia,mz,-25.03,33.1,21.2,3.95,77,0
